7.0997 	EXP 	grating: ori = -8.0
7.0997 	EXP 	fixation: autoDraw = True
7.5823 	EXP 	fixation: autoDraw = False
7.5823 	EXP 	grating: autoDraw = True
7.8828 	EXP 	grating: autoDraw = False
7.9843 	DATA 	Keypress: left
7.9993 	EXP 	fixation: autoDraw = False
7.9993 	EXP 	grating: autoDraw = False
7.9993 	EXP 	grating: ori = -7.0
7.9993 	EXP 	fixation: autoDraw = True
8.4827 	EXP 	fixation: autoDraw = False
8.4827 	EXP 	grating: autoDraw = True
8.7823 	EXP 	grating: autoDraw = False
8.9015 	DATA 	Keypress: left
8.9159 	EXP 	fixation: autoDraw = False
8.9159 	EXP 	grating: autoDraw = False
8.9159 	EXP 	grating: ori = 7.0
8.9159 	EXP 	fixation: autoDraw = True
9.4158 	EXP 	fixation: autoDraw = False
9.4158 	EXP 	grating: autoDraw = True
9.7159 	EXP 	grating: autoDraw = False
9.9187 	DATA 	Keypress: right
9.9324 	EXP 	fixation: autoDraw = False
9.9324 	EXP 	grating: autoDraw = False
9.9324 	EXP 	grating: ori = 7.0
9.9324 	EXP 	fixation: autoDraw = True
10.4326 	EXP 	fixation: autoDraw = False
10.4326 	EXP 	grating: autoDraw = True
10.7324 	EXP 	grating: autoDraw = False
10.9175 	DATA 	Keypress: right
10.9322 	EXP 	fixation: autoDraw = False
10.9322 	EXP 	grating: autoDraw = False
10.9322 	EXP 	grating: ori = -6.0
10.9322 	EXP 	fixation: autoDraw = True
11.4159 	EXP 	fixation: autoDraw = False
11.4159 	EXP 	grating: autoDraw = True
11.7163 	EXP 	grating: autoDraw = False
11.8684 	DATA 	Keypress: left
11.8830 	EXP 	fixation: autoDraw = False
11.8830 	EXP 	grating: autoDraw = False
11.8830 	EXP 	grating: ori = -6.0
11.8830 	EXP 	fixation: autoDraw = True
12.3830 	EXP 	fixation: autoDraw = False
12.3830 	EXP 	grating: autoDraw = True
12.6823 	EXP 	grating: autoDraw = False
12.8175 	DATA 	Keypress: left
12.8326 	EXP 	fixation: autoDraw = False
12.8326 	EXP 	grating: autoDraw = False
12.8326 	EXP 	grating: ori = -6.0
12.8326 	EXP 	fixation: autoDraw = True
13.3155 	EXP 	fixation: autoDraw = False
13.3155 	EXP 	grating: autoDraw = True
13.6162 	EXP 	grating: autoDraw = False
13.7345 	DATA 	Keypress: left
13.7489 	EXP 	fixation: autoDraw = False
13.7489 	EXP 	grating: autoDraw = False
13.7489 	EXP 	grating: ori = 5.0
13.7489 	EXP 	fixation: autoDraw = True
14.2489 	EXP 	fixation: autoDraw = False
14.2489 	EXP 	grating: autoDraw = True
14.5490 	EXP 	grating: autoDraw = False
14.7175 	DATA 	Keypress: right
14.7323 	EXP 	fixation: autoDraw = False
