staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,7.0,9.9324096001219,,9.917337000137195,9.9324096001219,10.432618800085038,10.432618800085038,10.432618800085038,10.732410500058904,10.916388100013137,right,7.0,1,1,0.48053019982762635,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
11,1,6.0,10.932236399967223,,10.916584999999031,10.932236399967223,11.415921400068328,11.415921400068328,11.415921400068328,11.71633159997873,11.867153899976984,left,-6.0,1,1,0.4422015999443829,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
12,1,6.0,11.883021099958569,,11.86741070006974,11.883021099958569,12.382969999918714,12.382969999918714,12.382969999918714,12.682346899993718,12.816373199922964,left,-6.0,1,1,0.4181003998965025,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
13,1,6.0,12.832553500076756,,12.816555199911818,12.832553500076756,13.315487999934703,13.315487999934703,13.315487999934703,13.6162080001086,13.733430000022054,left,-6.0,1,1,0.4093204999808222,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
14,1,5.0,13.748892300063744,,13.733610600000247,13.748892300063744,14.248891100054607,14.248891100054607,14.248891100054607,14.548967499984428,14.716388500062749,right,5.0,1,1,0.46421039989218116,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
15,1,5.0,14.732295599998906,,14.716566700022668,14.732295599998906,15.215549200074747,15.215549200074747,15.215549200074747,15.515735799912363,15.700043099932373,right,5.0,1,1,0.47078280011191964,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
16,1,5.0,15.715652300044894,,15.700222100131214,15.715652300044894,16.19933610013686,16.19933610013686,16.19933610013686,16.4985875999555,16.650374500080943,left,-5.0,1,1,0.44628100004047155,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
17,1,4.0,16.66530460002832,,16.650557100074366,16.66530460002832,17.165621400112286,17.165621400112286,17.165621400112286,17.465855299960822,17.600583699997514,left,-4.0,1,1,0.433465100126341,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
18,1,4.0,17.615489300107583,,17.600762099958956,17.615489300107583,18.11522729997523,18.11522729997523,18.11522729997523,18.415600100066513,18.566243099980056,right,4.0,1,1,0.4430319999810308,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
19,0.5,4.0,18.58244809997268,,18.566421600058675,18.58244809997268,19.065823799930513,19.065823799930513,19.065823799930513,19.36546709993854,19.649722000118345,left,-4.0,0,0,0.5780905999708921,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
